treatment,num_tests,dilution,finished,solution_found,max_gen,max_score,max_actual_score,replicate_id,seed,directory
cohort,10,0_00000,False,True,124,10,10,30,41130,cohort/10/0_00000/41130/
cohort,10,0_00000,True,False,3000,10,10,31,41131,cohort/10/0_00000/41131/
cohort,10,0_00000,False,True,382,10,10,32,41132,cohort/10/0_00000/41132/
cohort,10,0_00000,False,True,326,10,10,33,41133,cohort/10/0_00000/41133/
cohort,10,0_00000,False,True,1677,10,10,34,41134,cohort/10/0_00000/41134/
cohort,10,0_00000,False,True,800,10,10,35,41135,cohort/10/0_00000/41135/
cohort,10,0_00000,False,True,37,10,10,36,41136,cohort/10/0_00000/41136/
cohort,10,0_00000,False,True,523,10,10,37,41137,cohort/10/0_00000/41137/
cohort,10,0_00000,False,True,419,10,10,38,41138,cohort/10/0_00000/41138/
cohort,10,0_00000,False,True,113,10,10,39,41139,cohort/10/0_00000/41139/
cohort,10,0_00000,False,True,516,10,10,40,41140,cohort/10/0_00000/41140/
cohort,10,0_00000,False,True,424,10,10,41,41141,cohort/10/0_00000/41141/
cohort,10,0_00000,True,False,3000,10,10,42,41142,cohort/10/0_00000/41142/
cohort,10,0_00000,False,True,1335,10,10,43,41143,cohort/10/0_00000/41143/
cohort,10,0_00000,False,True,114,10,10,44,41144,cohort/10/0_00000/41144/
cohort,10,0_00000,False,True,223,10,10,45,41145,cohort/10/0_00000/41145/
cohort,10,0_00000,False,True,900,10,10,46,41146,cohort/10/0_00000/41146/
cohort,10,0_00000,False,True,435,10,10,47,41147,cohort/10/0_00000/41147/
cohort,10,0_00000,True,False,3000,10,10,48,41148,cohort/10/0_00000/41148/
cohort,10,0_00000,False,True,37,10,10,49,41149,cohort/10/0_00000/41149/
cohort,10,0_00000,False,True,195,10,10,50,41150,cohort/10/0_00000/41150/
cohort,5,0_00000,False,True,223,5,5,1,42101,cohort/5/0_00000/42101/
cohort,5,0_00000,False,True,141,5,5,2,42102,cohort/5/0_00000/42102/
cohort,5,0_00000,False,True,832,5,5,3,42103,cohort/5/0_00000/42103/
cohort,5,0_00000,False,True,934,5,5,4,42104,cohort/5/0_00000/42104/
cohort,5,0_00000,False,True,215,5,5,5,42105,cohort/5/0_00000/42105/
cohort,5,0_00000,False,True,261,5,5,6,42106,cohort/5/0_00000/42106/
cohort,5,0_00000,False,True,488,5,5,7,42107,cohort/5/0_00000/42107/
cohort,5,0_00000,False,True,546,5,5,8,42108,cohort/5/0_00000/42108/
cohort,5,0_00000,False,True,1887,5,5,9,42109,cohort/5/0_00000/42109/
cohort,5,0_00000,False,True,747,5,5,10,42110,cohort/5/0_00000/42110/
cohort,5,0_00000,False,True,1231,5,5,11,42111,cohort/5/0_00000/42111/
cohort,5,0_00000,False,True,449,5,5,12,42112,cohort/5/0_00000/42112/
cohort,5,0_00000,False,True,335,5,5,13,42113,cohort/5/0_00000/42113/
cohort,5,0_00000,True,False,6000,5,5,14,42114,cohort/5/0_00000/42114/
cohort,5,0_00000,False,True,487,5,5,15,42115,cohort/5/0_00000/42115/
cohort,5,0_00000,False,True,856,5,5,16,42116,cohort/5/0_00000/42116/
cohort,5,0_00000,False,True,565,5,5,17,42117,cohort/5/0_00000/42117/
cohort,5,0_00000,False,True,693,5,5,18,42118,cohort/5/0_00000/42118/
cohort,5,0_00000,False,True,166,5,5,19,42119,cohort/5/0_00000/42119/
cohort,5,0_00000,False,True,628,5,5,20,42120,cohort/5/0_00000/42120/
cohort,5,0_00000,False,True,321,5,5,21,42121,cohort/5/0_00000/42121/
cohort,5,0_00000,False,True,820,5,5,22,42122,cohort/5/0_00000/42122/
cohort,5,0_00000,False,True,2717,5,5,23,42123,cohort/5/0_00000/42123/
cohort,5,0_00000,False,True,765,5,5,24,42124,cohort/5/0_00000/42124/
cohort,5,0_00000,False,True,1212,5,5,25,42125,cohort/5/0_00000/42125/
cohort,5,0_00000,False,True,460,5,5,26,42126,cohort/5/0_00000/42126/
cohort,5,0_00000,False,True,2356,5,5,27,42127,cohort/5/0_00000/42127/
cohort,5,0_00000,False,False,5355,5,5,28,42128,cohort/5/0_00000/42128/
cohort,5,0_00000,False,True,5091,5,5,29,42129,cohort/5/0_00000/42129/
cohort,5,0_00000,False,True,325,5,5,30,42130,cohort/5/0_00000/42130/
cohort,5,0_00000,False,True,561,5,5,31,42131,cohort/5/0_00000/42131/
cohort,5,0_00000,False,True,278,5,5,32,42132,cohort/5/0_00000/42132/
cohort,5,0_00000,True,False,6000,5,5,33,42133,cohort/5/0_00000/42133/
cohort,5,0_00000,False,True,60,5,5,34,42134,cohort/5/0_00000/42134/
cohort,5,0_00000,False,True,525,5,5,35,42135,cohort/5/0_00000/42135/
cohort,5,0_00000,False,True,463,5,5,36,42136,cohort/5/0_00000/42136/
cohort,5,0_00000,False,True,165,5,5,37,42137,cohort/5/0_00000/42137/
cohort,5,0_00000,False,True,746,5,5,38,42138,cohort/5/0_00000/42138/
cohort,5,0_00000,False,True,181,5,5,39,42139,cohort/5/0_00000/42139/
cohort,5,0_00000,False,True,235,5,5,40,42140,cohort/5/0_00000/42140/
cohort,5,0_00000,True,False,6000,5,5,41,42141,cohort/5/0_00000/42141/
cohort,5,0_00000,False,True,2664,5,5,42,42142,cohort/5/0_00000/42142/
cohort,5,0_00000,True,False,6000,5,5,43,42143,cohort/5/0_00000/42143/
cohort,5,0_00000,False,True,488,5,5,44,42144,cohort/5/0_00000/42144/
cohort,5,0_00000,False,True,2340,5,5,45,42145,cohort/5/0_00000/42145/
cohort,5,0_00000,False,True,1194,5,5,46,42146,cohort/5/0_00000/42146/
cohort,5,0_00000,False,True,629,5,5,47,42147,cohort/5/0_00000/42147/
cohort,5,0_00000,False,True,368,5,5,48,42148,cohort/5/0_00000/42148/
cohort,5,0_00000,False,True,457,5,5,49,42149,cohort/5/0_00000/42149/
cohort,5,0_00000,False,True,807,5,5,50,42150,cohort/5/0_00000/42150/
reduced,100,0_00000,True,False,300,95,95,1,28101,reduced/100/0_00000/28101/
reduced,100,0_00000,False,True,99,95,95,2,28102,reduced/100/0_00000/28102/
reduced,100,0_00000,True,False,300,87,87,3,28103,reduced/100/0_00000/28103/
reduced,100,0_00000,False,True,64,100,100,4,28104,reduced/100/0_00000/28104/
reduced,100,0_00000,True,False,300,86,86,5,28105,reduced/100/0_00000/28105/
reduced,100,0_00000,False,True,237,100,100,6,28106,reduced/100/0_00000/28106/
reduced,100,0_00000,False,True,188,100,100,7,28107,reduced/100/0_00000/28107/
reduced,100,0_00000,True,False,300,90,90,8,28108,reduced/100/0_00000/28108/
reduced,100,0_00000,False,True,144,100,100,9,28109,reduced/100/0_00000/28109/
reduced,100,0_00000,False,True,147,98,98,10,28110,reduced/100/0_00000/28110/
reduced,100,0_00000,True,False,300,100,100,11,28111,reduced/100/0_00000/28111/
reduced,100,0_00000,False,True,170,98,98,12,28112,reduced/100/0_00000/28112/
reduced,100,0_00000,True,False,300,100,100,13,28113,reduced/100/0_00000/28113/
reduced,100,0_00000,True,False,300,94,94,14,28114,reduced/100/0_00000/28114/
reduced,100,0_00000,False,True,210,100,100,15,28115,reduced/100/0_00000/28115/
reduced,100,0_00000,False,True,126,100,100,16,28116,reduced/100/0_00000/28116/
reduced,100,0_00000,True,False,300,100,100,17,28117,reduced/100/0_00000/28117/
reduced,100,0_00000,False,True,175,100,100,18,28118,reduced/100/0_00000/28118/
reduced,100,0_00000,True,False,300,86,86,19,28119,reduced/100/0_00000/28119/
reduced,100,0_00000,False,True,112,100,100,20,28120,reduced/100/0_00000/28120/
reduced,100,0_00000,False,True,245,100,100,21,28121,reduced/100/0_00000/28121/
reduced,100,0_00000,False,True,183,100,100,22,28122,reduced/100/0_00000/28122/
reduced,100,0_00000,False,True,83,100,100,23,28123,reduced/100/0_00000/28123/
reduced,100,0_00000,False,True,149,95,95,24,28124,reduced/100/0_00000/28124/
reduced,100,0_00000,True,False,300,100,100,25,28125,reduced/100/0_00000/28125/
reduced,100,0_00000,True,False,300,100,100,26,28126,reduced/100/0_00000/28126/
reduced,100,0_00000,False,True,139,100,100,27,28127,reduced/100/0_00000/28127/
reduced,100,0_00000,True,False,300,100,100,28,28128,reduced/100/0_00000/28128/
reduced,100,0_00000,True,False,300,94,94,29,28129,reduced/100/0_00000/28129/
reduced,100,0_00000,False,True,107,99,99,30,28130,reduced/100/0_00000/28130/
reduced,100,0_00000,True,False,300,99,99,31,28131,reduced/100/0_00000/28131/
reduced,100,0_00000,False,True,103,95,95,32,28132,reduced/100/0_00000/28132/
reduced,100,0_00000,False,True,277,99,99,33,28133,reduced/100/0_00000/28133/
reduced,100,0_00000,True,False,300,100,100,34,28134,reduced/100/0_00000/28134/
reduced,100,0_00000,True,False,300,86,86,35,28135,reduced/100/0_00000/28135/
reduced,100,0_00000,True,False,300,98,98,36,28136,reduced/100/0_00000/28136/
reduced,100,0_00000,False,True,197,100,100,37,28137,reduced/100/0_00000/28137/
reduced,100,0_00000,True,False,300,98,98,38,28138,reduced/100/0_00000/28138/
reduced,100,0_00000,False,True,88,100,100,39,28139,reduced/100/0_00000/28139/
reduced,100,0_00000,True,False,300,100,100,40,28140,reduced/100/0_00000/28140/
reduced,100,0_00000,False,True,109,100,100,41,28141,reduced/100/0_00000/28141/
reduced,100,0_00000,True,False,300,99,99,42,28142,reduced/100/0_00000/28142/
reduced,100,0_00000,True,False,300,95,95,43,28143,reduced/100/0_00000/28143/
reduced,100,0_00000,False,True,149,100,100,44,28144,reduced/100/0_00000/28144/
reduced,100,0_00000,False,True,212,100,100,45,28145,reduced/100/0_00000/28145/
reduced,100,0_00000,True,False,300,100,100,46,28146,reduced/100/0_00000/28146/
reduced,100,0_00000,True,False,300,100,100,47,28147,reduced/100/0_00000/28147/
reduced,100,0_00000,True,False,300,98,98,48,28148,reduced/100/0_00000/28148/
reduced,100,0_00000,True,False,300,100,100,49,28149,reduced/100/0_00000/28149/
reduced,100,0_00000,False,True,275,100,100,50,28150,reduced/100/0_00000/28150/
reduced,50,0_00000,True,False,600,50,50,1,29101,reduced/50/0_00000/29101/
reduced,50,0_00000,False,True,434,50,50,2,29102,reduced/50/0_00000/29102/
reduced,50,0_00000,False,True,23,50,50,3,29103,reduced/50/0_00000/29103/
reduced,50,0_00000,True,False,600,50,50,4,29104,reduced/50/0_00000/29104/
reduced,50,0_00000,False,True,254,50,50,5,29105,reduced/50/0_00000/29105/
reduced,50,0_00000,True,False,600,49,49,6,29106,reduced/50/0_00000/29106/
reduced,50,0_00000,True,False,600,50,50,7,29107,reduced/50/0_00000/29107/
reduced,50,0_00000,False,True,297,50,50,8,29108,reduced/50/0_00000/29108/
reduced,50,0_00000,False,True,280,50,50,9,29109,reduced/50/0_00000/29109/
reduced,50,0_00000,False,True,519,50,50,10,29110,reduced/50/0_00000/29110/
reduced,50,0_00000,True,False,600,50,50,11,29111,reduced/50/0_00000/29111/
reduced,50,0_00000,False,True,63,50,50,12,29112,reduced/50/0_00000/29112/
reduced,50,0_00000,True,False,600,50,50,13,29113,reduced/50/0_00000/29113/
reduced,50,0_00000,False,True,133,46,46,14,29114,reduced/50/0_00000/29114/
reduced,50,0_00000,False,True,192,50,50,15,29115,reduced/50/0_00000/29115/
reduced,50,0_00000,False,True,53,50,50,16,29116,reduced/50/0_00000/29116/
reduced,50,0_00000,True,False,600,50,50,17,29117,reduced/50/0_00000/29117/
reduced,50,0_00000,False,True,268,50,50,18,29118,reduced/50/0_00000/29118/
reduced,50,0_00000,True,False,600,50,50,19,29119,reduced/50/0_00000/29119/
reduced,50,0_00000,False,True,67,50,50,20,29120,reduced/50/0_00000/29120/
reduced,50,0_00000,True,False,600,50,50,21,29121,reduced/50/0_00000/29121/
reduced,50,0_00000,True,False,600,50,50,22,29122,reduced/50/0_00000/29122/
