problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,replicate_id,seed,directory
smallest,cohort,100,0_75000,False,True,85,84,99,89,True,9,138309,smallest/cohort/100/0_75000/138309/
smallest,cohort,100,0_75000,True,False,-1,300,97,78,False,10,138310,smallest/cohort/100/0_75000/138310/
smallest,cohort,100,0_75000,True,False,-1,300,100,86,False,11,138311,smallest/cohort/100/0_75000/138311/
smallest,cohort,100,0_75000,True,False,-1,300,100,98,False,12,138312,smallest/cohort/100/0_75000/138312/
smallest,cohort,100,0_75000,True,False,-1,300,100,98,False,13,138313,smallest/cohort/100/0_75000/138313/
smallest,cohort,100,0_75000,True,False,-1,300,99,91,False,14,138314,smallest/cohort/100/0_75000/138314/
smallest,cohort,100,0_75000,True,False,-1,300,100,94,False,15,138315,smallest/cohort/100/0_75000/138315/
smallest,cohort,100,0_75000,True,False,-1,300,100,94,False,16,138316,smallest/cohort/100/0_75000/138316/
smallest,cohort,100,0_75000,True,False,-1,300,100,85,False,17,138317,smallest/cohort/100/0_75000/138317/
smallest,cohort,100,0_75000,True,False,-1,300,100,97,False,18,138318,smallest/cohort/100/0_75000/138318/
smallest,cohort,100,0_75000,True,False,-1,300,100,89,False,19,138319,smallest/cohort/100/0_75000/138319/
smallest,cohort,100,0_75000,True,False,-1,300,100,86,False,20,138320,smallest/cohort/100/0_75000/138320/
smallest,cohort,100,0_75000,True,False,-1,300,100,98,False,21,138321,smallest/cohort/100/0_75000/138321/
smallest,cohort,100,0_75000,False,True,202,201,100,98,True,22,138322,smallest/cohort/100/0_75000/138322/
smallest,cohort,100,0_75000,True,False,-1,300,99,87,False,23,138323,smallest/cohort/100/0_75000/138323/
smallest,cohort,100,0_75000,False,True,170,169,100,100,True,24,138324,smallest/cohort/100/0_75000/138324/
smallest,cohort,100,0_75000,True,False,-1,300,99,89,False,25,138325,smallest/cohort/100/0_75000/138325/
smallest,cohort,100,0_75000,True,False,-1,300,100,97,False,26,138326,smallest/cohort/100/0_75000/138326/
smallest,cohort,100,0_75000,True,False,-1,300,100,90,False,27,138327,smallest/cohort/100/0_75000/138327/
smallest,cohort,100,0_75000,False,True,29,28,96,85,True,28,138328,smallest/cohort/100/0_75000/138328/
smallest,cohort,100,0_75000,False,True,76,75,95,86,True,29,138329,smallest/cohort/100/0_75000/138329/
smallest,cohort,100,0_75000,True,False,-1,300,95,86,False,30,138330,smallest/cohort/100/0_75000/138330/
smallest,cohort,100,0_75000,True,False,-1,300,99,80,False,31,138331,smallest/cohort/100/0_75000/138331/
smallest,cohort,100,0_75000,True,False,-1,300,99,89,False,32,138332,smallest/cohort/100/0_75000/138332/
smallest,cohort,100,0_75000,True,False,-1,300,98,80,False,33,138333,smallest/cohort/100/0_75000/138333/
smallest,cohort,100,0_75000,False,True,213,212,100,100,True,34,138334,smallest/cohort/100/0_75000/138334/
smallest,cohort,100,0_75000,True,False,-1,300,100,93,False,35,138335,smallest/cohort/100/0_75000/138335/
smallest,cohort,100,0_75000,True,False,-1,300,99,88,False,36,138336,smallest/cohort/100/0_75000/138336/
smallest,cohort,100,0_75000,True,False,-1,300,100,93,False,37,138337,smallest/cohort/100/0_75000/138337/
smallest,cohort,100,0_75000,True,False,-1,300,100,99,False,38,138338,smallest/cohort/100/0_75000/138338/
smallest,cohort,100,0_75000,False,True,111,110,100,97,True,39,138339,smallest/cohort/100/0_75000/138339/
smallest,cohort,100,0_75000,False,True,88,87,100,100,True,40,138340,smallest/cohort/100/0_75000/138340/
smallest,cohort,100,0_75000,True,False,-1,300,99,92,False,41,138341,smallest/cohort/100/0_75000/138341/
smallest,cohort,100,0_75000,True,False,-1,300,100,90,False,42,138342,smallest/cohort/100/0_75000/138342/
smallest,cohort,100,0_75000,True,False,-1,300,100,95,False,43,138343,smallest/cohort/100/0_75000/138343/
smallest,cohort,100,0_75000,True,False,-1,300,100,95,False,44,138344,smallest/cohort/100/0_75000/138344/
smallest,cohort,100,0_75000,True,False,-1,300,99,88,False,45,138345,smallest/cohort/100/0_75000/138345/
smallest,cohort,100,0_75000,False,True,113,112,100,99,True,46,138346,smallest/cohort/100/0_75000/138346/
smallest,cohort,100,0_75000,True,False,-1,300,99,85,False,47,138347,smallest/cohort/100/0_75000/138347/
smallest,cohort,100,0_75000,False,True,162,161,100,100,True,48,138348,smallest/cohort/100/0_75000/138348/
smallest,cohort,100,0_75000,True,False,-1,300,100,94,False,49,138349,smallest/cohort/100/0_75000/138349/
smallest,cohort,100,0_90000,True,False,-1,300,100,89,False,0,138400,smallest/cohort/100/0_90000/138400/
smallest,cohort,100,0_90000,True,False,-1,300,100,81,False,1,138401,smallest/cohort/100/0_90000/138401/
smallest,cohort,100,0_90000,True,False,-1,300,100,82,False,2,138402,smallest/cohort/100/0_90000/138402/
smallest,cohort,100,0_90000,True,False,-1,300,100,77,False,3,138403,smallest/cohort/100/0_90000/138403/
smallest,cohort,100,0_90000,True,False,-1,300,100,95,False,4,138404,smallest/cohort/100/0_90000/138404/
smallest,cohort,100,0_90000,True,False,-1,300,99,69,False,5,138405,smallest/cohort/100/0_90000/138405/
smallest,cohort,100,0_90000,True,False,-1,300,100,76,False,6,138406,smallest/cohort/100/0_90000/138406/
smallest,cohort,100,0_90000,True,False,-1,300,100,69,False,7,138407,smallest/cohort/100/0_90000/138407/
smallest,cohort,100,0_90000,True,False,-1,300,100,82,False,8,138408,smallest/cohort/100/0_90000/138408/
smallest,cohort,100,0_90000,True,False,-1,300,100,76,False,9,138409,smallest/cohort/100/0_90000/138409/
smallest,cohort,100,0_90000,True,False,-1,300,100,72,False,10,138410,smallest/cohort/100/0_90000/138410/
smallest,cohort,100,0_90000,True,False,-1,300,100,77,False,11,138411,smallest/cohort/100/0_90000/138411/
smallest,cohort,100,0_90000,True,False,-1,300,100,69,False,12,138412,smallest/cohort/100/0_90000/138412/
smallest,cohort,100,0_90000,True,False,-1,300,100,79,False,13,138413,smallest/cohort/100/0_90000/138413/
smallest,cohort,100,0_90000,True,False,-1,300,100,76,False,14,138414,smallest/cohort/100/0_90000/138414/
smallest,cohort,100,0_90000,True,False,-1,300,100,74,False,15,138415,smallest/cohort/100/0_90000/138415/
smallest,cohort,100,0_90000,True,False,-1,300,100,73,False,16,138416,smallest/cohort/100/0_90000/138416/
smallest,cohort,100,0_90000,True,False,-1,300,100,84,False,17,138417,smallest/cohort/100/0_90000/138417/
smallest,cohort,100,0_90000,True,False,-1,300,100,82,False,18,138418,smallest/cohort/100/0_90000/138418/
smallest,cohort,100,0_90000,True,False,-1,300,100,71,False,19,138419,smallest/cohort/100/0_90000/138419/
smallest,cohort,100,0_90000,True,False,-1,300,100,80,False,20,138420,smallest/cohort/100/0_90000/138420/
smallest,cohort,100,0_90000,True,False,-1,300,100,79,False,21,138421,smallest/cohort/100/0_90000/138421/
smallest,cohort,100,0_90000,True,False,-1,300,100,75,False,22,138422,smallest/cohort/100/0_90000/138422/
smallest,cohort,100,0_90000,True,False,-1,300,100,96,False,23,138423,smallest/cohort/100/0_90000/138423/
smallest,cohort,100,0_90000,True,False,-1,300,100,86,False,24,138424,smallest/cohort/100/0_90000/138424/
smallest,cohort,100,0_90000,True,False,-1,300,100,68,False,25,138425,smallest/cohort/100/0_90000/138425/
