problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,overfit_prog_id,replicate_id,seed,directory,evals,worst_case_evals
for-loop-index,full,100,0_00000,False,True,441,440,99,99,True,-1,20,391120,for-loop-index/full/100/0_00000/391120/,44199597,44200000
for-loop-index,full,100,0_00000,False,True,746,745,90,90,True,-1,21,391121,for-loop-index/full/100/0_00000/391121/,74699763,74700000
for-loop-index,full,100,0_00000,False,True,1390,1389,95,95,True,-1,22,391122,for-loop-index/full/100/0_00000/391122/,139098557,139100000
for-loop-index,full,100,0_00000,False,True,139,138,96,96,True,-1,23,391123,for-loop-index/full/100/0_00000/391123/,13999909,14000000
for-loop-index,full,100,0_00000,False,True,622,621,100,100,True,-1,24,391124,for-loop-index/full/100/0_00000/391124/,62300000,62300000
for-loop-index,full,100,0_00000,False,True,40,39,99,99,True,-1,25,391125,for-loop-index/full/100/0_00000/391125/,4100000,4100000
for-loop-index,full,100,0_00000,False,True,452,451,99,99,True,-1,26,391126,for-loop-index/full/100/0_00000/391126/,45299184,45300000
for-loop-index,full,100,0_00000,False,True,1445,1444,81,81,True,-1,27,391127,for-loop-index/full/100/0_00000/391127/,144599536,144600000
for-loop-index,full,100,0_00000,False,True,228,227,100,100,True,-1,28,391128,for-loop-index/full/100/0_00000/391128/,22899676,22900000
for-loop-index,full,100,0_00000,False,True,81,80,96,96,True,-1,29,391129,for-loop-index/full/100/0_00000/391129/,8200000,8200000
for-loop-index,full,100,0_00000,False,True,61,60,96,96,True,-1,30,391130,for-loop-index/full/100/0_00000/391130/,6199773,6200000
for-loop-index,full,100,0_00000,False,True,67,66,96,96,True,-1,31,391131,for-loop-index/full/100/0_00000/391131/,6800000,6800000
for-loop-index,full,100,0_00000,False,True,1446,1445,38,38,True,-1,32,391132,for-loop-index/full/100/0_00000/391132/,144699662,144700000
for-loop-index,full,100,0_00000,False,True,139,138,96,96,True,-1,33,391133,for-loop-index/full/100/0_00000/391133/,14000000,14000000
for-loop-index,full,100,0_00000,False,True,120,119,100,100,True,-1,34,391134,for-loop-index/full/100/0_00000/391134/,12099607,12100000
for-loop-index,full,100,0_00000,False,True,69,68,96,96,True,-1,35,391135,for-loop-index/full/100/0_00000/391135/,6999934,7000000
for-loop-index,full,100,0_00000,False,True,1655,1654,100,100,True,-1,36,391136,for-loop-index/full/100/0_00000/391136/,165598710,165600000
for-loop-index,full,100,0_00000,False,True,96,95,27,27,True,-1,37,391137,for-loop-index/full/100/0_00000/391137/,9699717,9700000
for-loop-index,full,100,0_00000,False,True,485,484,99,99,True,-1,38,391138,for-loop-index/full/100/0_00000/391138/,48599315,48600000
for-loop-index,full,100,0_00000,False,True,4543,4542,82,82,True,-1,39,391139,for-loop-index/full/100/0_00000/391139/,454395066,454400000
for-loop-index,full,100,0_00000,False,True,6757,6756,82,82,True,-1,40,391140,for-loop-index/full/100/0_00000/391140/,675796225,675800000
for-loop-index,full,100,0_00000,False,True,2427,2426,78,78,True,-1,41,391141,for-loop-index/full/100/0_00000/391141/,242798496,242800000
for-loop-index,full,100,0_00000,False,True,1477,1476,82,82,True,-1,42,391142,for-loop-index/full/100/0_00000/391142/,147799250,147800000
for-loop-index,full,100,0_00000,False,True,354,353,86,86,True,-1,43,391143,for-loop-index/full/100/0_00000/391143/,35499000,35500000
for-loop-index,full,100,0_00000,False,True,144,143,96,96,True,-1,44,391144,for-loop-index/full/100/0_00000/391144/,14500000,14500000
for-loop-index,full,100,0_00000,False,True,2086,2085,99,99,True,-1,45,391145,for-loop-index/full/100/0_00000/391145/,208698230,208700000
for-loop-index,full,100,0_00000,False,True,63,62,96,96,True,-1,46,391146,for-loop-index/full/100/0_00000/391146/,6400000,6400000
for-loop-index,full,100,0_00000,False,True,3083,3082,58,58,True,-1,47,391147,for-loop-index/full/100/0_00000/391147/,308397947,308400000
for-loop-index,full,100,0_00000,False,True,2151,2150,41,41,True,-1,48,391148,for-loop-index/full/100/0_00000/391148/,215197663,215200000
for-loop-index,full,100,0_00000,False,True,79,78,100,100,True,-1,49,391149,for-loop-index/full/100/0_00000/391149/,8000000,8000000
compare-string-lengths,full,100,0_00000,False,True,679,678,100,100,True,-1,0,591100,compare-string-lengths/full/100/0_00000/591100/,68000000,68000000
compare-string-lengths,full,100,0_00000,False,True,384,383,100,100,True,-1,1,591101,compare-string-lengths/full/100/0_00000/591101/,38500000,38500000
compare-string-lengths,full,100,0_00000,False,True,388,387,100,100,True,-1,2,591102,compare-string-lengths/full/100/0_00000/591102/,38899974,38900000
compare-string-lengths,full,100,0_00000,False,True,283,282,100,100,True,-1,3,591103,compare-string-lengths/full/100/0_00000/591103/,28400000,28400000
compare-string-lengths,full,100,0_00000,False,True,1557,1556,100,100,True,-1,4,591104,compare-string-lengths/full/100/0_00000/591104/,155799910,155800000
compare-string-lengths,full,100,0_00000,False,True,94,93,99,99,True,-1,5,591105,compare-string-lengths/full/100/0_00000/591105/,9500000,9500000
compare-string-lengths,full,100,0_00000,False,True,301,300,100,100,True,-1,6,591106,compare-string-lengths/full/100/0_00000/591106/,30200000,30200000
compare-string-lengths,full,100,0_00000,False,True,737,736,99,99,True,-1,7,591107,compare-string-lengths/full/100/0_00000/591107/,73799928,73800000
compare-string-lengths,full,100,0_00000,False,True,846,845,100,100,True,-1,8,591108,compare-string-lengths/full/100/0_00000/591108/,84699951,84700000
compare-string-lengths,full,100,0_00000,False,True,370,369,100,100,True,-1,9,591109,compare-string-lengths/full/100/0_00000/591109/,37099978,37100000
compare-string-lengths,full,100,0_00000,False,True,1255,1254,99,99,True,-1,10,591110,compare-string-lengths/full/100/0_00000/591110/,125599785,125600000
compare-string-lengths,full,100,0_00000,False,True,527,526,100,100,True,-1,11,591111,compare-string-lengths/full/100/0_00000/591111/,52799923,52800000
compare-string-lengths,full,100,0_00000,False,False,-1,19927,100,100,True,1,12,591112,compare-string-lengths/full/100/0_00000/591112/,-1,-1
compare-string-lengths,full,100,0_00000,False,False,-1,2972,100,100,True,2,13,591113,compare-string-lengths/full/100/0_00000/591113/,-1,-1
compare-string-lengths,full,100,0_00000,False,True,265,264,100,100,True,-1,14,591114,compare-string-lengths/full/100/0_00000/591114/,26599994,26600000
compare-string-lengths,full,100,0_00000,False,True,348,347,99,99,True,-1,15,591115,compare-string-lengths/full/100/0_00000/591115/,34900000,34900000
compare-string-lengths,full,100,0_00000,False,True,2683,2682,100,100,True,-1,16,591116,compare-string-lengths/full/100/0_00000/591116/,268399879,268400000
compare-string-lengths,full,100,0_00000,False,True,367,366,100,100,True,-1,17,591117,compare-string-lengths/full/100/0_00000/591117/,36799872,36800000
compare-string-lengths,full,100,0_00000,False,True,1211,1210,100,100,True,-1,18,591118,compare-string-lengths/full/100/0_00000/591118/,121199865,121200000
compare-string-lengths,full,100,0_00000,False,True,11672,11671,100,100,True,-1,19,591119,compare-string-lengths/full/100/0_00000/591119/,1167299617,1167300000
compare-string-lengths,full,100,0_00000,False,True,10344,10343,100,100,True,-1,20,591120,compare-string-lengths/full/100/0_00000/591120/,1034498276,1034500000
compare-string-lengths,full,100,0_00000,False,False,-1,15283,100,100,True,1,21,591121,compare-string-lengths/full/100/0_00000/591121/,-1,-1
